Stocks,Category,MachineType,InventoryTypeSH,CategorySH,Year,Make,ManufacturerSH,Model,ModelSH,Hours,Condition,Seller,PurchCity,PurchState,DaggerLocation,DatePurchased,PurchPrice, EstFreight , EstLabor , EstParts , EstSalePrice , EstTotalCost , EstProfit ,DateSold,Buyback, Freight , Labor , Parts , TotalRepairCost , ListingFees , BuybackFee ,TotalFees, TotalCOGS ,SaleType, SalePrice ,Profit,ProfitNoLabor,Turnover,ROI,,Collab,Jared,Dustin,Quinn,Nash,Gifford,Bunde,Chris,Ethan,Wes,Korey,(Numbers added since switching back to individual),Notes,AuctionEnd,ClosingTime
1508,Construction,Dozer,Construction_Equipment,Dozers - Crawler,2009,Deere,DEERE,764HSD,764HSD,,,Leverton Enterprises,Weatherford,TX,"Dallas, TX",3/30/2022,63360.00, N/A ,2000.00,,75000,65360,9640,8/10/2022,1,750.00,2000.00,1144.00,3144.00,1212.00,1144.00,2356.00,69610.00,Auction,65448.00,-4162.00,-2162.00,133.00,-0.06,-5.98,1,,,,,,1,,,,,,,,
1509,Construction,Wheel Loader,Construction_Equipment,Wheel Loaders,2011,Volvo,VOLVO,L60F,L60F,,NR,Own Equipment & Machinery,Baton Rouge,LA,"Fargo, ND",3/30/2022,20895.00,4750.00,10000.00,,50000,35645,14355,8/3/2022,,4750.00,26752.50,9845.62,36598.12,982.00,,982.00,63225.12,Auction,53028.00,-10197.12,16555.38,126.00,-0.16,-16.13,2,1,,,,,,1,,,,,,,
1510,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2009,JLG,JLG,G12-55A,G12-55A,,,Jeff Martin Auctioneers,Pelzer,SC,"Hurricane Mills, TN",3/24/2022,47515.00,5000.00,1000.00,,55000,53515,1485,4/13/2022,,1500.00,750.00,,750.00,900.00,,900.00,50665.00,Auction,48600.00,-2065.00,-1315.00,20.00,-0.04,-4.08,2,,,,1,,,1,,,,,,,
1511,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,1998,JD,JOHN DEERE,7410,7410,7703,,Jack Nitz & Associates,Fremont,NE,"Fargo, ND",3/30/2022,27300.00,1000.00,,,,28300,  ,5/4/2022,,1000.00,2090.08,2613.89,4703.97,595.00,,595.00,33598.97,Auction,34020.00,421.03,2511.11,35.00,0.01,1.25,2,,,,,,1,1,,,,,,,
1512,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2006,Lull JLG,LULL,9.44E-40,9.44E-40,,,Purple Wave,Webster,MN,"Fargo, ND",3/30/2022,32450.00,700.00,,,40000,33150,6850,4/20/2022,,700.00,790.50,,790.50,595.00,,595.00,34535.50,Auction,34560.00,24.50,815.00,21.00,0.00,0.07,1,,,,,,,1,,,,,,,
1513,Trucks,Medium Duty,Trucks,Medium Duty Trucks - Service Trucks / Utility Trucks / Mechanic Trucks,2009,Ford,FORD,F-550,F550,,,IronPlanet,Avon,NY,"Fargo, ND",3/24/2022,6325.00,2000.00,1000.00,,20000,9325,10675,5/25/2022,,2200.00,4810.50,,4810.50,395.00,,395.00,13730.50,Auction,11016.00,-2714.50,2096.00,62.00,-0.20,-19.77,1,,,,1,,,,,,,,,,
1514,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2017,Apache,APACHE,AS720,AS720,,,Ritchie Bros,Lebanon,TN,"Fargo, ND",3/30/2022,57667.50,4350.00,5000.00,,95000,67017.5,27982.5,5/25/2022,,7550.00,4311.00,2734.48,7045.48,1688.00,,1688.00,73950.98,Auction,91152.00,17201.02,21512.02,56.00,0.23,23.26,2,1,,,,,1,,,,,,,,
1515,Construction,Wheel Loader,Construction_Equipment,Wheel Loaders,2011,Doosan,DOOSAN,DL200TC,DL200TC,,,Ritchie Bros,Lebanon,TN,"Hurricane Mills, TN",3/30/2022,42988.50,900.00,,,55000,43888.5,11111.5,4/27/2022,,900.00,525.00,,525.00,816.00,,816.00,45229.50,Auction,44064.00,-1165.50,-640.50,28.00,-0.03,-2.58,1,,,,,,,1,,,,,,,
1516,Construction,Boom Lift,Construction_Equipment,Lifts - Boom Lifts - Articulating,2008,JLG,JLG,800A,800A,,,Ritchie Bros,Newnan,GA,"Fargo, ND",3/30/2022,19200.00,5100.00,,,25000,24300,700,12/28/2022,,5000.00,3826.50,563.98,4390.48,595.00,,595.00,29185.48,Auction,27216.00,-1969.48,1857.02,273.00,-0.07,-6.75,2,1,,,,1,,,,,,,,,
1517,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2007,JCB,JCB,506C,506C,,,Ritchie Bros,Lebanon,TN,"Hurricane Mills, TN",3/30/2022,12650.00,2500.00,,,20000,15150,4850,4/7/2022,,?,  ,,,,,,12650.00,Retail,22000.00,9350.00,,8.00,0.74,73.91,1,,,,,,,1,,,,,,,
